business_id,latitude,longitude
x5Mv61CnZLohZWxfCVCPTQ,33.4794817,-112.0736806
2ZnCITVa0abGce4gZ6RhIw,33.4685474,-112.0750849
EmzaQR5hQlF0WIl24NxAZA,33.4483992,-112.0717019
KPoTixdjoJxSqRSEApSAGg,33.477939,-112.073417
e5kc0CQ4R-PCCDgb274gSg,33.4521542,-112.0686202
gBcpDl0quCLABsg5OuSFww,33.4492979,-112.0655423
72N6TdH5MdUWE2YhYRbyxw,33.47626,-112.074248
eOgUKCy5-sK-leqIBiNokg,33.4484911,-112.0744277
neGAQFkBNI8-rpPBLBzNkw,33.46544,-112.06909
45puCRQ6Vh_IIAy7kkfFDQ,33.4484654,-112.0712574
nc3IiY5LNdmEwUZCW84yuA,33.4521542,-112.0686202
P7wKlbSRsoRrfH3DFOY08A,33.475583,-112.074115
BESmH-lmMm34_EefL8X9fQ,33.429424,-112.073929
D09yG6Z3gcsh24Qn7Y4gYA,33.4657117,-112.0657286
kaIue7GRCmkPzDeHDBTttQ,33.4640982988,-112.073569
j8nyAaN_w5t6wYv-ni23sg,33.443909,-112.070122
5XIvwfbIa-vuFEkkeCQ6kQ,33.4450359,-112.0706266
VsO_rhXi5lgbaGxNwoEZsQ,33.4579128,-112.0686777
Y293fHh5SZ0_9BZm4M6BCg,33.4493093,-112.07194
IceZ4BtTz76eppjNWm-c6A,33.4547647,-112.0865171
QsvRjgQacMMFf8dit7qqDw,33.439268,-112.073481
LXhL5X3edNRy7epku6UAEw,33.4470733,-112.0709775
=-lOSaCuBRAvX5JBifx-EMw,33.4521542,-112.0686202
XI-_Y2XRw03mozGx0Z90Gw,33.4487514,-112.0738147
qsWxbgQwuomXvMseg23DGg,33.4523351,-112.0696144
DlCtdbceo4YNSI53cCL2lg,33.46425,-112.074153
kR5i58Pcse1FD9tk-yYLlA,33.450875,-112.066333
2I666dqzs1XB6xigIKa9bA,33.448424817,-112.074802052
yExYqENb4F6qH6kJxTOaSQ,33.4458023,-112.0691069
9BH18avE46LlHMvJn67MaA,33.4499524,-112.0740511
trAvQPp7gps0Btk-2AmLpw,33.465499,-112.081565
VCQ3VvnVRhibTT8J61xWkw,33.4372015,-112.0656044
s6zzKc7UvwDRxn-BFlhiTg,33.4521542,-112.0686202
4WcxnNv_lzCIG2eb8O5Mlg,33.44455,-112.073577
gkv2XvXpFgiq4Bb2XK7YmQ,33.4468850573,-112.071075886
If2DUhmWIvlu2JFc_rR-Bw,33.4484911,-112.0744277
xH5axHFadmc7Veutt376TA,33.4653345,-112.0655975
Vvh2Hd4SsZjEEfKLNKAEWw,33.479418,-112.0732961
sInUSy63Oh455uWs9p9OqQ,33.4771144,-112.0744197
x8WoC_7WHzXNmt6J13Nbvw,33.477594,-112.072914
wki-Qlp3OWgH0XtZ-Jz_WQ,33.4483756752,-112.072706876
OoHWabV-ym7_HWlHeXTsVA,33.4794824,-112.0740962
oSKT5oZX1NWYaHwOWL5lag,33.4794762,-112.0736809
QAe9UHKsxPdXQovBpaznMQ,33.476644,-112.0736968
q1nDSpmV-FdTBNj6UuZvTg,33.4796505,-112.0742162
muCl5p-9ut1sY0aKeUeRhw,33.4633319,-112.0741467
oCA2OZcd_Jo_ggVmUx3WVw,33.4448019849,-112.072117722
eK6KGMKqU_4nB9RdayZD7Q,33.442472,-112.065825
jn3OgTqiQIFymRA9U0PTfQ,33.4453626,-112.0674961
1-1VcGTL3GyCqUpXZLFTZA,33.4453626,-112.0674961
odhXwWaYZvD_icIN6f_DbA,33.4575099,-112.0741235
avPNEqlXgyBvTXjb-ujQFA,33.4794961,-112.0469586
ldIxXmxD3Cku0vODGYb9dQ,33.4794961,-112.0469586
hWhVP-28LYP3llaMlAJ_JA,33.466086,-112.0323491
ixTr1qXUFGTzyaZUuCDDvg,33.4654334,-112.063548
ZoQAOnEFnyHjSpomtfqesA,33.4701393,-112.0654347
apCfJVnRyaw6oVUBKujpUQ,33.45107,-112.055957
ykfTh6HI219NoMsWBxulxw,33.466043,-112.05026
McdTNj-TUMOlfkHwQWs4rg,33.4737734,-112.04749
tb24fvNJfHhyKEXkKn12Xw,33.4588421,-112.0609975
VXIkI9_EbDbYHeO9IzKjJg,33.4599088,-112.04608
VKxn7zmp8nOYT-ZHFZTjgA,33.470153,-112.0474211
rbiRLiFTG098z9JaK3Nshw,33.4659637,-112.0506694
cgNIBHS2mLdbTRiodAT6EQ,33.459347,-112.064755
SZvYxcvYYVRue9MXcEDjsA,33.4708674,-112.0653819
5-X03Zc0nN7U5eoe8uFUdw,33.4713,-112.064761
0De3TQ_uSOXwgduKL0va3w,33.4661987,-112.0632154
R6aazv8FB-6BeanY3ag8kw,33.473125,-112.0650914
Xo9Im4LmIhQrzJcO4R3ZbA,33.4579361,-112.0520629
TNKr6FelsEqOHnatOgWhog,33.4660683,-112.0306582
NYBx4sdSVrN-I5Q8RfLMPg,33.4655407,-112.0409279
Cp6JGY5YIRncTV_My9nf9g,33.4575264,-112.0472803
04HakCR6gEeRYNAoKxkppQ,33.4660319,-112.0473925
ITyAEjIw9ekv0wXpGHQF1Q,33.4658505,-111.9730379
q2SZa5g85758iW1L9sSL1g,33.4668576,-112.0298525
po5FyERB4lUZNnBIwnhFlg,33.4661343,-111.973718
I2IofjP2sHZUkv7pcoc33A,33.466085,-112.013243
_RBUU1y4yJrK0SPAd8z0-w,33.4657562,-111.9718284
WyJuGTwFwoN0k8iX8FsqYw,33.458744,-112.029827
PEHJjxdw11TGFma9Zhz3ng,33.466124,-112.015464
zU8IfotOLryhaz5okWx6cA,33.4509955,-112.0013904
h2ewvzx8enIwYhNbtIpcZw,33.4528001,-111.9898455
xfk9eY8gmwn8qsbyd-W6lQ,33.4514039,-111.973603
_gXpjRIjb5fv5f5IVGXvsw,33.466688,-111.987753
11TvD4sCfA8GEqLDANpbSQ,33.4513465,-111.9810889
ZAgPh4v-oOb1g6cdlkKI0g,33.4518,-111.9789
2unQHR9uaRxk3dsW6f3MGA,33.4552907,-111.9878697
4rcOm0NnQkBanyS5g7TSNg,33.465718,-112.0112336
s87D-mtAuJ8BluKgYYsXGw,33.4796892,-112.0297946
yQONzVpX-DEpGSuKMIov6A,33.4554481,-111.9884856
9tefv6uPxoHhp_OlQQJVXA,33.4766277,-112.0128996
Um5VnQXli9IwplV2rmgggg,33.478444,-111.9864838
_8Y-XNHmQ76xmxUQIrn0sA,33.4736745,-111.9862587
rAb_wfdKKPPbcIysjYcW4A,33.450927,-112.0211988
hzUOqxpcnYYBgLlrgvjQYQ,33.4764103,-111.9864526
5UBAWhxukaPrc_0DalT-3w,33.476956,-111.986944
jzPMl-NoB5F2fwoHX3hN8A,33.4926708,-112.0734808
